SIGUNGU,housing_cat,satis,sex,owning,cluster,occupy,num_of_room,num_of_livingroom,num_of_kitchen,area,income
12,6.0,3.0,3.0,1.0,3.0,1,3.0,0.0,1.0,16.0,500
5,4.0,3.0,2.0,1.0,2.0,1,3.0,1.0,0.0,25.0,0
5,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,25.0,0
5,4.0,3.0,2.0,1.0,2.0,1,3.0,1.0,0.0,28.0,0
5,4.0,3.0,2.0,1.0,2.0,1,3.0,1.0,0.0,28.0,0
5,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,28.0,0
5,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,28.0,0
5,4.0,3.0,3.0,0.0,3.0,2,3.0,1.0,0.0,25.0,500
5,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,25.0,500
12,3.0,3.0,3.0,0.0,2.0,2,2.0,1.0,1.0,18.0,0
5,4.0,3.0,3.0,0.0,3.0,3,3.0,1.0,0.0,25.0,600
5,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,25.0,500
12,1.0,3.0,3.0,0.0,3.0,2,3.0,1.0,1.0,17.0,300
12,3.0,3.0,3.0,0.0,3.0,2,3.0,1.0,1.0,18.0,300
18,4.0,3.0,3.0,0.0,0.0,3,2.0,1.0,0.0,12.0,0
18,4.0,3.0,1.0,0.0,2.0,3,2.0,1.0,0.0,12.0,100
18,4.0,3.0,3.0,0.0,3.0,3,2.0,1.0,0.0,12.0,200
18,4.0,3.0,3.0,0.0,2.0,3,2.0,1.0,0.0,12.0,0
18,4.0,3.0,2.0,0.0,2.0,3,2.0,1.0,0.0,12.0,0
18,4.0,3.0,3.0,0.0,0.0,3,2.0,1.0,0.0,12.0,70
18,4.0,3.0,3.0,0.0,2.0,3,2.0,1.0,0.0,12.0,0
18,4.0,3.0,2.0,0.0,2.0,3,2.0,1.0,0.0,12.0,130
5,6.0,3.0,3.0,0.0,0.0,2,3.0,1.0,0.0,12.0,600
5,6.0,3.0,3.0,0.0,3.0,2,3.0,1.0,0.0,12.0,300
12,3.0,3.0,3.0,0.0,3.0,3,3.0,1.0,1.0,18.0,800
5,6.0,3.0,3.0,1.0,0.0,1,3.0,1.0,0.0,10.0,800
12,2.0,3.0,3.0,0.0,0.0,2,2.0,0.0,1.0,10.0,300
5,6.0,3.0,3.0,1.0,0.0,1,3.0,1.0,0.0,13.0,600
5,6.0,3.0,3.0,0.0,0.0,2,2.0,1.0,0.0,9.0,500
5,6.0,3.0,3.0,0.0,0.0,2,3.0,1.0,0.0,11.0,800
12,2.0,3.0,3.0,0.0,3.0,3,2.0,0.0,1.0,7.0,400
5,6.0,3.0,3.0,0.0,0.0,2,3.0,1.0,0.0,13.0,700
5,6.0,3.0,3.0,1.0,3.0,1,2.0,1.0,0.0,9.0,500
5,6.0,3.0,3.0,0.0,0.0,2,2.0,1.0,0.0,9.0,500
5,6.0,3.0,3.0,0.0,0.0,2,3.0,1.0,0.0,12.0,400
12,3.0,3.0,3.0,0.0,3.0,2,3.0,1.0,1.0,18.0,350
12,3.0,3.0,3.0,0.0,3.0,2,3.0,1.0,1.0,18.0,350
14,6.0,4.0,3.0,0.0,2.0,3,3.0,1.0,0.0,19.0,300
14,6.0,4.0,2.0,0.0,2.0,2,2.0,1.0,0.0,18.0,100
18,4.0,2.0,3.0,0.0,3.0,3,2.0,1.0,0.0,12.0,350
14,2.0,1.0,3.0,0.0,2.0,2,3.0,1.0,0.0,33.0,230
18,4.0,3.0,1.0,0.0,2.0,3,2.0,1.0,0.0,12.0,100
14,2.0,2.0,3.0,0.0,3.0,3,3.0,1.0,0.0,17.0,100
14,2.0,1.0,3.0,1.0,2.0,1,3.0,1.0,0.0,38.0,200
14,2.0,1.0,3.0,1.0,2.0,1,3.0,1.0,0.0,42.0,150
14,2.0,3.0,3.0,0.0,0.0,7,2.0,1.0,0.0,15.0,100
14,2.0,1.0,2.0,0.0,2.0,3,2.0,1.0,0.0,15.0,75
14,2.0,2.0,3.0,0.0,2.0,3,2.0,1.0,0.0,10.0,300
14,4.0,2.0,3.0,0.0,3.0,2,2.0,1.0,0.0,20.0,350
14,4.0,3.0,3.0,1.0,2.0,1,2.0,1.0,0.0,20.0,20
14,4.0,2.0,3.0,0.0,3.0,3,3.0,1.0,0.0,26.0,600
5,6.0,3.0,2.0,1.0,2.0,1,3.0,1.0,0.0,17.0,0
12,2.0,3.0,3.0,0.0,2.0,3,2.0,0.0,1.0,12.0,0
5,6.0,3.0,3.0,0.0,2.0,3,3.0,1.0,0.0,17.0,150
12,2.0,3.0,2.0,0.0,2.0,3,2.0,0.0,1.0,7.0,0
5,6.0,3.0,3.0,0.0,3.0,7,3.0,1.0,0.0,17.0,500
5,6.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,17.0,400
5,6.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,17.0,500
5,6.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,17.0,450
5,6.0,3.0,3.0,0.0,3.0,2,3.0,1.0,0.0,17.0,400
5,5.0,3.0,2.0,1.0,2.0,1,3.0,1.0,0.0,17.0,0
5,6.0,3.0,3.0,0.0,0.0,2,3.0,1.0,0.0,17.0,650
14,4.0,3.0,3.0,1.0,1.0,1,3.0,1.0,0.0,24.0,200
12,4.0,3.0,3.0,1.0,1.0,1,4.0,1.0,1.0,33.03,1000
12,4.0,3.0,3.0,1.0,1.0,1,4.0,1.0,1.0,33.03,300
20,2.0,3.0,3.0,0.0,0.0,3,2.0,1.0,0.0,15.0,200
20,2.0,3.0,3.0,1.0,2.0,1,2.0,1.0,0.0,10.32,0
20,2.0,3.0,2.0,0.0,2.0,3,1.0,1.0,0.0,6.0,150
20,2.0,3.0,2.0,0.0,2.0,3,2.0,1.0,0.0,10.0,70
20,2.0,3.0,3.0,0.0,3.0,3,2.0,1.0,0.0,14.0,500
20,2.0,2.0,3.0,0.0,3.0,2,3.0,1.0,0.0,18.0,400
20,2.0,3.0,2.0,0.0,2.0,2,2.0,1.0,0.0,15.0,0
20,2.0,3.0,1.0,0.0,2.0,2,2.0,1.0,0.0,15.0,0
20,2.0,3.0,3.0,0.0,3.0,2,3.0,1.0,0.0,20.0,500
20,2.0,3.0,3.0,0.0,2.0,3,2.0,1.0,0.0,13.0,200
14,4.0,2.0,3.0,1.0,2.0,1,3.0,1.0,0.0,24.0,50
14,4.0,3.0,2.0,1.0,2.0,1,3.0,1.0,0.0,24.0,0
14,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,24.0,400
14,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,24.0,200
14,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,24.0,150
14,4.0,2.0,3.0,0.0,0.0,2,3.0,1.0,0.0,24.0,250
14,4.0,3.0,3.0,1.0,3.0,2,3.0,1.0,0.0,24.0,300
14,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,24.0,150
14,4.0,4.0,3.0,1.0,3.0,1,3.0,1.0,0.0,24.0,400
3,1.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,18.0,200
3,1.0,3.0,3.0,1.0,3.0,1,4.0,1.0,0.0,27.0,9999999
3,6.0,3.0,1.0,0.0,2.0,3,2.0,1.0,0.0,9999999.0,0
3,6.0,3.0,1.0,0.0,2.0,3,1.0,1.0,0.0,6.0,250
12,4.0,4.0,3.0,1.0,2.0,1,4.0,1.0,1.0,33.03,9999999
13,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,18.0,0
3,6.0,2.0,3.0,0.0,0.0,2,2.0,1.0,0.0,7.0,0
12,4.0,3.0,3.0,1.0,3.0,1,4.0,1.0,1.0,33.03,400
13,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,18.0,300
12,4.0,3.0,3.0,1.0,3.0,1,4.0,1.0,1.0,33.03,500
13,4.0,3.0,3.0,1.0,0.0,1,3.0,1.0,0.0,18.0,400
12,4.0,3.0,3.0,1.0,2.0,1,4.0,1.0,1.0,33.03,0
13,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,18.0,580
12,4.0,3.0,3.0,0.0,3.0,3,4.0,1.0,1.0,33.03,250
12,4.0,3.0,3.0,1.0,3.0,1,4.0,1.0,1.0,33.03,500
13,4.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,18.0,480
12,4.0,3.0,3.0,1.0,1.0,1,4.0,1.0,1.0,33.03,9999999
12,4.0,3.0,3.0,1.0,1.0,1,4.0,1.0,1.0,33.03,500
14,4.0,4.0,3.0,1.0,2.0,1,3.0,1.0,0.0,26.0,200
14,4.0,2.0,3.0,1.0,0.0,1,2.0,1.0,0.0,20.0,350
14,4.0,4.0,3.0,1.0,2.0,1,3.0,1.0,0.0,26.0,200
14,4.0,3.0,1.0,1.0,0.0,1,3.0,1.0,0.0,26.0,900
14,4.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,26.0,200
14,4.0,3.0,3.0,0.0,2.0,3,2.0,1.0,0.0,20.0,300
14,4.0,3.0,3.0,1.0,2.0,1,2.0,1.0,0.0,20.0,200
7,2.0,2.0,1.0,0.0,2.0,3,1.0,1.0,0.0,5.0,0
5,2.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,18.0,450
5,2.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,16.0,350
5,2.0,3.0,3.0,0.0,3.0,2,3.0,1.0,0.0,18.0,500
7,2.0,2.0,3.0,0.0,3.0,3,2.0,0.0,1.0,12.0,260
5,2.0,2.0,1.0,0.0,0.0,2,1.0,1.0,0.0,12.0,250
5,2.0,3.0,3.0,0.0,2.0,2,3.0,1.0,0.0,17.0,300
7,1.0,2.0,2.0,0.0,2.0,7,3.0,0.0,1.0,18.0,0
5,5.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,20.0,400
5,5.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,20.0,400
5,5.0,3.0,3.0,1.0,2.0,1,3.0,1.0,0.0,20.0,0
5,5.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,20.0,500
5,5.0,3.0,3.0,1.0,3.0,1,3.0,1.0,0.0,20.0,0
7,2.0,1.0,3.0,0.0,0.0,3,1.0,0.0,1.0,9.0,200
7,2.0,2.0,2.0,1.0,2.0,1,3.0,0.0,1.0,25.0,0
7,1.0,1.0,2.0,1.0,2.0,1,2.0,0.0,1.0,18.0,0
7,2.0,3.0,2.0,0.0,0.0,7,2.0,0.0,1.0,14.0,0
7,2.0,1.0,3.0,0.0,2.0,3,1.0,0.0,1.0,6.0,0
7,2.0,3.0,3.0,0.0,3.0,3,2.0,0.0,1.0,15.0,350
7,2.0,3.0,3.0,0.0,2.0,7,2.0,0.0,1.0,20.0,0
4,4.0,3.0,3.0,0.0,0.0,3,2.0,0.0,1.0,13.0,0
4,4.0,3.0,2.0,0.0,2.0,3,2.0,0.0,1.0,13.0,0
4,4.0,3.0,2.0,0.0,2.0,3,2.0,0.0,1.0,13.0,0
4,4.0,4.0,2.0,0.0,2.0,3,2.0,0.0,1.0,13.0,0
4,4.0,3.0,1.0,0.0,2.0,3,2.0,0.0,1.0,13.0,0
5,2.0,2.0,3.0,0.0,3.0,3,2.0,1.0,0.0,10.0,100
4,4.0,3.0,3.0,0.0,2.0,3,2.0,0.0,1.0,13.0,350
5,2.0,3.0,3.0,0.0,3.0,7,4.0,1.0,0.0,24.0,200
4,4.0,3.0,1.0,0.0,2.0,3,2.0,0.0,1.0,13.0,0
5,2.0,3.0,2.0,0.0,2.0,2,1.0,1.0,0.0,10.0,130
5,2.0,3.0,2.0,1.0,2.0,1,3.0,1.0,0.0,28.0,0
